ID,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Debt.To.Income.Ratio,Home.Ownership,Monthly.Income,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
98621,10000,10000,14.09%,36 months,8.48%,MORTGAGE,3750,4,3776,0,3 years
73371,5000,5000,7.62%,36 months,8.43%,MORTGAGE,2916.67,6,12444,1,10+ years
30397,12100,12100,16.89%,36 months,11.16%,MORTGAGE,6166.67,5,2081,0,4 years
64262,15000,15000,13.11%,36 months,33.12%,RENT,4166.67,10,13198,0,9 years
71492,10000,10000,11.14%,60 months,15.82%,RENT,3250,5,11319,1,6 years
88920,10850,10850,17.77%,36 months,33.90%,OWN,,7,9577,0,8 years
91571,24000,24000,12.12%,36 months,16.24%,RENT,4500,8,29098,1,10+ years
57430,18000,17975,19.22%,60 months,16.04%,MORTGAGE,4666.67,14,14878,3,10+ years
77113,11350,11350,14.09%,36 months,27.41%,RENT,2783.33,14,11031,0,< 1 year
98787,26500,26500,13.11%,36 months,13.99%,RENT,5833.33,8,64504,2,5 years
72539,4950,4950,14.33%,36 months,8.95%,OWN,2916.67,11,7931,2,6 years
71247,1000,1000,15.31%,36 months,29.45%,MORTGAGE,2166.67,9,1748,0,6 years
4644,9000,9000,11.83%,36 months,0.48%,RENT,4833,6,0,1,4 years
98762,12000,12000,21.98%,60 months,12.94%,MORTGAGE,2866.5,5,9626,1,10+ years
100313,31300,31300,22.95%,60 months,34.06%,OWN,5833.33,11,25344,0,5 years
38905,5000,5000,7.90%,36 months,7.75%,MORTGAGE,5500,11,16396,3,< 1 year
86747,21000,21000,18.75%,60 months,31.71%,MORTGAGE,9583.33,19,30589,1,10+ years
90712,7000,7000,17.77%,36 months,8.02%,RENT,6000,5,6623,0,10+ years
52440,17975,17975,18.55%,36 months,18.55%,RENT,4833.33,10,17448,0,7 years
70424,30000,29975,21.00%,60 months,17.12%,MORTGAGE,8666.67,8,47503,0,6 years
19701,1500,1500,9.63%,36 months,16.98%,MORTGAGE,7725,14,30626,0,6 years
27710,3000,3000,22.11%,60 months,0%,OWN,1471,3,NA,0,6 years
16631,8400,8400,9.25%,60 months,22.47%,MORTGAGE,4833.33,6,19187,0,3 years
102645,8500,6727.42,16.83%,36 months,14.68%,RENT,5000,9,0,9,10+ years
36706,16500,16400,11.71%,60 months,12.07%,MORTGAGE,2750,11,2316,1,4 years
78789,19000,19000,18.75%,60 months,17.40%,OWN,4000,7,5246,2,10+ years
32191,3600,3600,6.62%,36 months,9.35%,RENT,2000,17,1710,0,1 year
72346,3625,3625,14.09%,36 months,11.32%,MORTGAGE,3895,9,12251,0,10+ years
45097,28000,27925,18.55%,36 months,8.99%,MORTGAGE,6666.67,6,14189,2,n/a
73434,10800,10800,12.12%,36 months,26.70%,RENT,5833.33,6,27585,0,5 years
77867,6000,6000,14.09%,36 months,24.25%,RENT,4000,12,24934,1,10+ years
78519,4800,4800,13.11%,36 months,4.61%,RENT,2666.67,3,7911,0,< 1 year
16597,12000,11862.38,5.79%,60 months,22.13%,MORTGAGE,4166.67,12,14464,1,10+ years
12007,6000,5996.63,13.61%,60 months,20.85%,MORTGAGE,2700,10,10932,2,2 years
98373,10000,10000,13.11%,36 months,19.01%,MORTGAGE,7500,11,14426,1,9 years
7255,12000,11875,7.88%,36 months,14.79%,RENT,3333.33,8,1357,0,2 years
70443,19050,19050,14.33%,60 months,11.08%,MORTGAGE,5000,16,19988,4,3 years
39439,10000,10000,15.96%,36 months,13.09%,RENT,4416.67,9,23870,1,10+ years
74388,10000,10000,10.16%,36 months,13.11%,RENT,4285.5,17,11724,0,< 1 year
26822,15650,15650,21.74%,36 months,13.86%,RENT,3700,5,10605,1,4 years
46097,6400,6400,10.74%,36 months,19.23%,RENT,3833.33,13,10451,0,< 1 year
73614,4225,4225,6.03%,36 months,14.52%,MORTGAGE,2583.33,17,3907,0,4 years
56643,21000,20975,20.50%,60 months,18.42%,MORTGAGE,8083.33,11,31080,2,5 years
12248,10000,9999.36,10.75%,60 months,4.05%,MORTGAGE,8750,7,0,1,2 years
21508,9000,9000,13.06%,60 months,5.74%,RENT,3678.08,8,7556,2,4 years
61143,21000,21000,14.33%,60 months,6.16%,MORTGAGE,8333.33,10,22196,0,10+ years
84593,12000,12000,14.09%,36 months,15.33%,RENT,8666.67,10,9624,1,1 year
59886,1000,1000,13.11%,36 months,30.71%,RENT,1833.33,7,6283,0,3 years
77363,20000,20000,14.09%,36 months,34.91%,MORTGAGE,4583.33,8,6510,1,2 years
60963,10000,10000,15.31%,36 months,9.55%,OWN,4166.67,11,11551,0,4 years
14044,3500,3500,11.49%,36 months,14.43%,MORTGAGE,9166.67,12,34944,2,10+ years
99706,20000,20000,18.49%,36 months,21.80%,RENT,6666.67,20,22990,6,10+ years
92795,18000,18000,13.11%,36 months,26.54%,MORTGAGE,4166.67,11,16680,0,10+ years
62884,18200,18200,10.16%,36 months,7.95%,RENT,4750,13,16184,2,3 years
37863,10200,10200,12.42%,36 months,17.86%,MORTGAGE,5833.33,9,9817,2,4 years
40856,4000,3975,7.90%,60 months,4.48%,OWN,4000,16,6696,0,< 1 year
40489,28000,27975,7.90%,36 months,5.81%,MORTGAGE,7000,8,771,2,9 years
88273,4800,4800,18.75%,36 months,10.89%,MORTGAGE,5833.33,NA,17943,0,10+ years
51379,8000,7997.85,17.99%,36 months,21.11%,MORTGAGE,8583.33,15,14584,3,5 years
59279,15000,15000,7.90%,36 months,5.59%,RENT,2916.67,13,14290,1,9 years
28189,15000,15000,15.99%,36 months,11.34%,MORTGAGE,8583.33,6,3844,2,7 years
52129,23000,23000,7.62%,36 months,6.51%,MORTGAGE,25000,10,227,0,10+ years
50817,14000,14000,13.11%,36 months,16.78%,RENT,5500,10,4919,0,7 years
101798,.,1850,12.49%,36 months,20.56%,MORTGAGE,3448.33,10,18749,5,< 1 year
34591,12000,12000,6.03%,36 months,2.55%,MORTGAGE,3416.67,6,3732,0,10+ years
75818,4500,4500,17.27%,36 months,16.59%,RENT,4666.67,24,893,1,3 years
988,7500,214.02,8.00%,36 months,7.17%,MORTGAGE,3750,14,9409,1,7 years
94218,25000,25000,13.11%,36 months,18.52%,RENT,5000,11,4345,3,2 years
12860,16000,15900,15.58%,60 months,12.86%,MORTGAGE,5427.42,11,19407,1,5 years
21867,5000,5000,12.68%,36 months,9.20%,RENT,3500,6,3555,0,1 year
28518,15000,15000,17.99%,36 months,21.04%,MORTGAGE,5319.17,13,5613,3,2 years
60875,10500,10500,12.12%,36 months,5.42%,RENT,5000,4,502,0,2 years
60688,21250,21250,18.75%,36 months,26.53%,OWN,4500,15,25287,2,10+ years
92717,7125,7125,7.62%,36 months,7.96%,OWN,2500,5,577,0,1 year
36283,14000,14000,7.90%,36 months,21.69%,RENT,3162.25,12,13579,0,9 years
27572,3000,3000,7.49%,36 months,21.16%,RENT,2500,3,1298,0,2 years
16548,24000,14450,9.99%,60 months,8.08%,MORTGAGE,8083.33,9,13559,0,10+ years
74632,7200,7200,12.12%,36 months,18.61%,OWN,3208.33,8,9849,0,1 year
15083,25000,24950,21.27%,36 months,8.33%,MORTGAGE,12500,3,26057,0,10+ years
96700,16000,16000,16.29%,36 months,20.62%,RENT,5416.67,13,14246,1,< 1 year
78382,28000,28000,20.49%,60 months,4.36%,RENT,8416.67,11,1327,0,5 years
11185,12000,12000,17.93%,60 months,0.72%,MORTGAGE,6500,4,1549,1,10+ years
30824,14000,14000,11.99%,60 months,19.52%,MORTGAGE,6333.33,12,32213,0,< 1 year
47097,7200,7200,7.90%,36 months,12.13%,RENT,2333.33,7,6262,1,2 years
97364,20800,20775,6.62%,36 months,15.64%,MORTGAGE,10833.33,11,15192,0,10+ years
80353,9450,9450,14.33%,36 months,24.51%,RENT,2916.67,12,11555,0,4 years
57190,5000,5000,9.76%,36 months,28.28%,MORTGAGE,4583.33,15,38092,0,10+ years
83869,35000,34950,8.90%,36 months,20.46%,RENT,9166.67,19,21536,0,1 year
30718,35000,33500,13.49%,60 months,10.63%,MORTGAGE,15583.33,10,9,1,6 years
88084,6000,6000,15.31%,36 months,15.91%,RENT,3833.33,11,5760,1,10+ years
89884,25000,25000,15.31%,60 months,3.98%,RENT,5666.67,6,11079,0,3 years
38688,35000,23350,11.71%,60 months,8.07%,MORTGAGE,7500,6,5660,0,3 years
9020,2575,2575,6.76%,36 months,4.80%,RENT,6875,6,4678,2,3 years
23710,13000,12909.48,10.74%,36 months,19.25%,RENT,3200,7,28032,1,< 1 year
5062,4200,4200,14.61%,36 months,15.28%,RENT,6333.33,11,15578,0,1 year
19695,12000,11950,12.68%,60 months,22.72%,RENT,5000,19,9002,0,n/a
28147,5000,5000,10.99%,36 months,23.25%,RENT,2000,8,8339,0,< 1 year
96371,12000,12000,17.27%,36 months,20.07%,RENT,5416.67,7,3747,0,< 1 year
96693,4750,4700,17.27%,36 months,18.33%,MORTGAGE,3583.33,11,2964,2,5 years
69885,6000,6000,12.12%,36 months,4.94%,MORTGAGE,4333.33,12,9656,2,5 years
34440,12000,12000,6.62%,36 months,4.73%,MORTGAGE,7083.33,9,6578,1,10+ years
90560,11400,11375,8.90%,36 months,14.27%,MORTGAGE,5641.67,9,11092,1,10+ years
65889,6000,6000,7.62%,36 months,9.33%,RENT,8315.67,8,6239,0,2 years
62747,12000,11975,12.12%,36 months,31.34%,OWN,4166.67,21,28703,2,3 years
102138,3200,2799.99,12.61%,36 months,16.72%,MORTGAGE,6476,14,80837,4,10+ years
79820,25875,25875,18.49%,60 months,13.83%,MORTGAGE,6000,8,12316,2,10+ years
9162,12300,12275,7.88%,36 months,22.14%,MORTGAGE,4738.67,18,10666,2,5 years
8382,6250,6100,10.25%,36 months,18.04%,MORTGAGE,2400,5,14863,0,10+ years
86783,25000,25000,18.49%,60 months,10.08%,RENT,7666.67,12,14631,2,3 years
70606,3500,3500,15.31%,36 months,7.14%,RENT,5000,2,14064,0,1 year
14407,15000,14950,15.21%,60 months,14.65%,RENT,5416.67,11,9171,2,10+ years
65335,16000,16000,14.09%,60 months,7.78%,RENT,4166.67,6,4240,3,2 years
70177,10000,10000,15.31%,36 months,19.98%,MORTGAGE,6041.67,7,6458,0,1 year
2868,6000,5691.36,11.89%,36 months,11.55%,RENT,2917,4,1003,2,1 year
3768,4800,4750,12.21%,36 months,9.41%,RENT,6250,10,21069,0,< 1 year
3962,10000,9225.43,12.21%,36 months,10.45%,RENT,7667,9,17328,0,2 years
31995,11750,11750,10.99%,36 months,10.30%,RENT,4583.33,6,5613,0,3 years
10737,4750,4750,14.72%,36 months,3%,OWN,866.67,6,740,0,n/a
98671,4750,4750,22.47%,36 months,24.45%,RENT,1333.33,9,4752,2,< 1 year
86099,22000,21975,21.98%,36 months,11.19%,MORTGAGE,6666.67,9,23124,0,10+ years
7816,20000,19900,10.25%,36 months,17.51%,MORTGAGE,7833.33,14,49898,0,5 years
57483,13025,13025,13.11%,36 months,7.75%,MORTGAGE,4333.33,6,13029,0,10+ years
18088,6000,6000,13.35%,36 months,21.36%,MORTGAGE,5000,11,4363,3,10+ years
91412,18000,18000,6.03%,36 months,10.75%,MORTGAGE,7916.67,13,14007,2,7 years
22667,16300,16275,14.91%,36 months,24.17%,MORTGAGE,5222,11,40988,1,10+ years
41426,8400,8400,14.27%,36 months,11.95%,MORTGAGE,4166.67,10,16634,1,10+ years
52333,20000,20000,8.90%,36 months,17.08%,RENT,4916.67,10,14952,2,4 years
101800,25000,2125,15.01%,36 months,24.59%,MORTGAGE,15416.67,24,245886,7,2 years
55598,21725,21725,19.22%,60 months,22.48%,OWN,3629.58,7,19685,0,10+ years
82435,4500,4475,11.14%,36 months,34.74%,RENT,2700,13,6747,0,10+ years
69446,22250,22250,14.09%,36 months,32.10%,MORTGAGE,6583.33,18,44868,0,10+ years
9349,5000,4797.96,10.99%,36 months,19.88%,RENT,3200,7,387,0,3 years
94792,8000,8000,13.11%,36 months,6.74%,MORTGAGE,4583.33,13,9085,1,10+ years
20367,2400,2400,10.37%,36 months,9.54%,MORTGAGE,3166.67,6,2174,0,1 year
99867,35000,34950,17.27%,36 months,22.74%,RENT,6750,15,24626,1,10+ years
19321,12000,12000,10.00%,36 months,12.32%,MORTGAGE,5000,6,4515,1,7 years
101907,12000,3639.28,13.30%,36 months,12.77%,RENT,3000,15,8480,4,6 years
66132,20000,20000,15.80%,36 months,13.13%,RENT,5000,10,17981,1,3 years
53762,17500,17500,7.90%,36 months,7.97%,RENT,5416.67,4,17,0,< 1 year
90239,10050,10050,14.33%,36 months,6.07%,RENT,2916.67,9,7413,1,6 years
76933,6000,6000,8.90%,36 months,17.16%,MORTGAGE,12500,12,60368,2,< 1 year
75321,2200,2200,8.90%,36 months,14.02%,RENT,7083.33,10,14980,1,10+ years
86117,1000,1000,7.90%,36 months,17.07%,MORTGAGE,3333.33,8,3186,1,3 years
23566,16000,15745.73,11.11%,60 months,9.90%,RENT,2958.33,6,8943,2,< 1 year
89511,14675,14675,13.11%,36 months,24.74%,RENT,3166.67,14,5727,0,< 1 year
48808,10000,10000,7.90%,36 months,26.09%,RENT,2916.67,10,15957,0,10+ years
56404,12000,12000,13.11%,36 months,17.04%,MORTGAGE,4583.33,9,41871,0,3 years
68999,1550,1550,12.12%,36 months,11.21%,RENT,5083.33,9,5755,0,6 years
94994,24000,24000,11.14%,60 months,20.98%,OWN,8000,9,20247,0,2 years
40131,6400,6375,11.71%,36 months,14.88%,RENT,4166.67,7,15055,0,1 year
92024,5000,5000,14.33%,36 months,11.12%,RENT,2916.67,5,4114,0,10+ years
36837,4500,4500,11.71%,36 months,15.87%,MORTGAGE,3333.33,15,11963,0,6 years
79248,12000,12000,19.05%,36 months,19.61%,MORTGAGE,4583.33,8,8970,0,10+ years
61123,5400,5400,6.03%,36 months,4.16%,OWN,2333.33,9,4224,0,6 years
93253,11100,11100,11.14%,36 months,29.55%,MORTGAGE,4000,10,13410,3,6 years
88420,27575,27575,19.05%,60 months,10.61%,MORTGAGE,13125,16,25980,1,6 years
1342,3000,1647.62,10.20%,36 months,0.33%,RENT,4583.33,3,37,0,< 1 year
240,22350,486.13,14.07%,36 months,3.66%,OWN,11250,8,10753,2,1 year
42222,10000,10000,15.27%,36 months,4.02%,RENT,4480,9,7614,2,1 year
6712,10000,10000,12.53%,36 months,10.81%,RENT,7158.33,15,23152,0,6 years
5923,17000,16786.31,8.94%,36 months,2.19%,MORTGAGE,10000,15,63646,1,< 1 year
14958,5000,5000,11.86%,36 months,4%,RENT,5577,3,1069,0,1 year
98141,10000,10000,17.77%,36 months,26.32%,RENT,2500,6,17543,1,7 years
70193,20000,20000,19.72%,60 months,24.78%,MORTGAGE,5416.67,12,33166,0,10+ years
82882,5000,5000,12.12%,36 months,20.26%,MORTGAGE,6250,19,33500,0,10+ years
61576,18550,18525,7.90%,36 months,16.93%,MORTGAGE,5416.67,10,28877,0,3 years
19255,12000,12000,7.29%,36 months,16.15%,MORTGAGE,11667,9,113671,0,4 years
50874,5800,5800,22.45%,60 months,11.86%,RENT,1416.67,3,6077,2,6 years
5166,20000,19925,12.53%,36 months,3.65%,MORTGAGE,5200,3,9231,0,7 years
45994,8500,8500,7.62%,36 months,13.67%,RENT,4333.33,11,15284,0,4 years
27317,6250,6250,7.49%,36 months,23.97%,MORTGAGE,2900,13,21536,0,2 years
71470,4200,4200,20.49%,60 months,28.80%,RENT,3166.67,16,7728,3,1 year
88845,17600,17600,8.90%,36 months,16.58%,MORTGAGE,4166.67,8,235,1,8 years
6211,10000,9767.84,12.87%,36 months,21.28%,MORTGAGE,8333.33,24,9470,1,< 1 year
62740,7200,7200,20.49%,60 months,15.14%,RENT,5166.67,10,14585,3,3 years
65443,6000,6000,7.90%,36 months,9.31%,OWN,1750,14,5056,0,6 years
22659,12000,12000,12.68%,60 months,9.55%,MORTGAGE,9750,9,17259,0,8 years
12015,15000,14950,11.86%,36 months,12.20%,MORTGAGE,5000,9,3470,3,10+ years
74206,31050,30750,7.90%,36 months,18.82%,MORTGAGE,6500,15,71549,0,9 years
80944,24000,24000,22.47%,60 months,30.97%,MORTGAGE,10104.17,14,37686,0,10+ years
6011,15800,15450,11.14%,36 months,21.88%,OWN,8333.33,7,29860,0,< 1 year
43999,10000,10000,7.90%,36 months,12.80%,RENT,6666.67,11,9261,0,1 year
9839,20000,13175,7.88%,60 months,12.51%,MORTGAGE,19583,9,5213,0,4 years
67421,7200,7200,7.62%,36 months,7.97%,RENT,8333.33,12,25430,0,6 years
64020,3000,3000,13.11%,36 months,32.21%,MORTGAGE,2583.33,13,6683,0,1 year
3158,14000,13675,9.63%,36 months,13.06%,MORTGAGE,9083.33,21,46017,3,10+ years
61683,10000,10000,14.09%,36 months,15.02%,MORTGAGE,6000,13,8178,0,8 years
101340,27050,27050,19.05%,60 months,12.89%,MORTGAGE,5083.33,8,15793,0,6 years
58359,3225,3225,7.62%,36 months,17.79%,MORTGAGE,5833.33,5,70323,1,10+ years
61151,8000,8000,17.77%,36 months,34.56%,RENT,3291.67,26,18518,0,2 years
43056,15000,15000,7.90%,36 months,22.24%,RENT,2666.67,15,11105,0,< 1 year
57727,7750,7750,10.74%,36 months,6.51%,MORTGAGE,2916.67,5,6889,0,6 years
48319,7500,7500,8.90%,36 months,10.02%,RENT,5500,9,2382,0,6 years
4537,6000,6000,14.96%,36 months,11.55%,RENT,7083.33,7,5341,0,2 years
23087,14000,13975,17.51%,60 months,16.44%,OWN,4666.67,11,10948,3,10+ years
85008,20000,20000,21.98%,60 months,25.48%,OTHER,6416.67,15,14115,0,10+ years
73664,6000,6000,17.27%,36 months,6.91%,MORTGAGE,4025.67,6,6652,2,5 years
26886,12000,11975,10.99%,36 months,9.46%,MORTGAGE,12083.33,7,43299,2,3 years
98321,9750,9750,20.49%,36 months,10.55%,RENT,3033.33,13,8688,1,4 years
37386,1200,1200,18.25%,36 months,24.12%,RENT,1700,2,0,3,4 years
104012,25000,24288.45,11.86%,36 months,7.43%,MORTGAGE,5250,9,18318,4,10+ years
101002,2200,2200,15.31%,36 months,28.84%,RENT,4750,13,26552,0,n/a
100217,16000,16000,23.76%,60 months,27.06%,RENT,5416.67,18,24610,3,1 year
80275,6775,6775,13.11%,36 months,10.20%,RENT,6666.67,14,5457,2,< 1 year
88001,12000,12000,15.80%,36 months,9.33%,MORTGAGE,10000,11,22312,1,10+ years
58595,20000,20000,8.90%,36 months,3.18%,MORTGAGE,17500,6,28579,2,8 years
45529,12000,12000,12.12%,36 months,7.24%,MORTGAGE,10416.67,10,31489,1,2 years
53780,12500,12475,6.03%,36 months,14.82%,RENT,4944.92,11,6014,0,2 years
18439,4500,4500,6.91%,36 months,0.58%,MORTGAGE,65000,7,3015,4,7 years
64307,10000,10000,12.12%,36 months,18.81%,MORTGAGE,3250,10,19354,0,10+ years
22312,9000,9000,13.43%,36 months,19.45%,OWN,6750,7,26588,1,4 years
67672,19725,19725,7.90%,36 months,6.46%,MORTGAGE,6916.67,9,16173,3,7 years
84633,12000,12000,11.14%,36 months,3.11%,MORTGAGE,10833.33,12,11941,0,2 years
72220,35000,34950,23.28%,60 months,15.95%,MORTGAGE,8333.33,8,11229,1,10+ years
45525,24000,24000,15.81%,60 months,0.62%,OWN,10000,8,0,3,10+ years
77606,14400,14400,10.16%,36 months,28.54%,MORTGAGE,5083.33,12,4292,0,9 years
18362,15000,14950,16.32%,60 months,7.53%,MORTGAGE,14000,14,5469,4,5 years
88279,22250,22250,21.49%,60 months,28.87%,RENT,4166.67,15,14107,0,9 years
59735,30075,30050,22.95%,60 months,21.54%,MORTGAGE,5083.33,17,20976,1,4 years
15274,2000,2000,6.17%,36 months,18.35%,RENT,5733.58,9,21998,0,3 years
10176,20500,19861.23,14.96%,60 months,10.76%,RENT,2500,2,109,0,2 years
68176,15000,15000,17.77%,36 months,22.45%,RENT,3500,11,9868,0,7 years
23911,5000,5000,8.49%,36 months,16.89%,MORTGAGE,6706.41,19,43734,1,8 years
37380,5000,5000,17.58%,36 months,5.33%,RENT,1800,2,1749,0,< 1 year
103512,8000,7725,10.99%,36 months,13.40%,MORTGAGE,7000,3,175087,1,10+ years
11258,7000,7000,14.72%,36 months,11.39%,MORTGAGE,6833,11,5537,1,7 years
18916,4800,4775,5.42%,36 months,20.17%,MORTGAGE,7466.83,19,13461,2,4 years
68113,5375,5375,8.90%,36 months,29.48%,RENT,3416.67,6,3007,2,< 1 year
45225,19200,19200,13.11%,60 months,3.45%,MORTGAGE,8333.33,14,50625,3,2 years
7752,5525,5525,13.85%,36 months,21.03%,MORTGAGE,6620,8,37573,2,10+ years
44054,15000,15000,9.91%,36 months,9.16%,MORTGAGE,4250,11,11615,1,10+ years
102374,7675,2275,15.13%,36 months,18.08%,MORTGAGE,11666.67,13,12578,0,9 years
96613,27575,27575,14.33%,36 months,19.63%,MORTGAGE,5166.67,6,8720,0,10+ years
21574,15000,14900,19.74%,60 months,16.80%,MORTGAGE,5833.33,14,8587,2,3 years
101208,5900,5900,13.11%,36 months,14.19%,MORTGAGE,3010,8,5921,0,10+ years
39590,26000,25975,16.77%,60 months,11.77%,MORTGAGE,4416.67,5,7560,1,10+ years
41014,8000,7975,17.27%,36 months,8.60%,MORTGAGE,1833.33,7,2963,1,3 years
54201,7000,7000,15.31%,36 months,14.74%,RENT,12208.33,22,25181,3,10+ years
88031,13450,13450,14.09%,36 months,12.93%,MORTGAGE,3333.33,5,5407,0,1 year
99787,26500,26500,20.49%,60 months,30.36%,MORTGAGE,5000,14,10350,0,5 years
67649,20000,20000,16.29%,36 months,23.59%,MORTGAGE,5833.33,14,12696,1,< 1 year
74713,14000,13975,12.12%,36 months,3.25%,MORTGAGE,6250,14,7085,1,10+ years
54692,9600,9600,10.74%,60 months,3.58%,MORTGAGE,8000,7,3207,0,3 years
68406,20000,20000,14.09%,36 months,9.16%,MORTGAGE,19583.33,12,31277,1,7 years
76218,3800,3800,12.12%,36 months,23.36%,OWN,2641.67,3,8467,0,3 years
12895,15000,14925,10.75%,60 months,17.55%,RENT,5761,12,2691,2,10+ years
30497,10000,10000,7.49%,36 months,7.77%,RENT,3166.67,4,0,0,1 year
57456,16000,15975,14.65%,36 months,20.15%,RENT,3666.67,15,6875,0,4 years
27671,13000,13000,10.99%,60 months,21.70%,MORTGAGE,6517,14,4663,0,3 years
77149,16000,16000,19.05%,60 months,17.82%,RENT,6666.67,16,11232,2,5 years
63971,27575,27575,17.27%,36 months,33.47%,MORTGAGE,5750,21,24705,2,n/a
33181,8000,8000,12.69%,36 months,17.10%,MORTGAGE,7083,11,9345,3,.
92244,27575,27575,19.05%,36 months,19.30%,RENT,5166.67,6,14935,1,10+ years
96798,15000,15000,6.62%,36 months,3.23%,MORTGAGE,6250,8,13131,0,n/a
27764,4800,4800,5.42%,36 months,10.23%,MORTGAGE,6333.33,13,10704,0,10+ years
51684,10000,10000,12.12%,36 months,12.99%,MORTGAGE,5833.33,8,13885,0,6 years
2882,15000,8081.65,13.16%,36 months,13.16%,MORTGAGE,2583.33,3,4923,2,9 years
42555,8700,8700,12.69%,36 months,5.02%,RENT,14166.67,11,19036,0,< 1 year
41287,7000,7000,7.90%,36 months,7.65%,RENT,2916.67,7,4276,0,3 years
47488,11875,11875,6.03%,36 months,20.80%,MORTGAGE,2740.5,16,23490,1,10+ years
40094,24400,24400,17.27%,60 months,15.98%,RENT,6000,7,13879,1,3 years
46021,1000,1000,10.74%,36 months,9%,RENT,1100,5,1314,0,2 years
79106,21000,20950,23.76%,60 months,24.82%,RENT,7458.33,14,11973,0,10+ years
NA,16000,16000,9.63%,60 months,16.58%,OWN,5000,6,2300,0,10+ years
20309,8000,8000,12.68%,60 months,18.78%,MORTGAGE,11583.33,13,86700,0,10+ years
39481,3000,3000,6.03%,36 months,5.50%,RENT,4166.67,7,9616,0,5 years
9115,16750,16445.93,9.88%,36 months,10.25%,MORTGAGE,3338,10,18696,1,5 years
84592,13200,13200,19.72%,36 months,9.07%,MORTGAGE,5083.33,5,10771,0,10+ years
80956,1000,1000,15.31%,36 months,24.65%,OWN,3176,6,10982,2,5 years
102295,5000,4500,11.03%,36 months,0.47%,RENT,3166.67,5,4254,5,< 1 year
91426,29175,29175,13.11%,36 months,20.68%,RENT,5416.67,10,22811,0,10+ years
4873,4550,4550,13.57%,36 months,17.46%,RENT,10833.33,10,66461,0,< 1 year
83586,6075,6075,17.27%,36 months,20.25%,OWN,2666.67,15,7515,2,< 1 year
42743,8000,8000,16.77%,36 months,20.99%,RENT,3750,6,4010,0,5 years
325,7000,5525,7.75%,36 months,10.37%,RENT,4158,13,6634,0,8 years
99898,3700,3700,15.80%,36 months,32.20%,RENT,3000,9,14151,0,1 year
7254,1000,1000,7.88%,36 months,17.15%,RENT,6000,11,23572,1,3 years
74613,6000,6000,13.11%,36 months,19.97%,MORTGAGE,5833.33,6,5523,1,1 year
25767,1700,1700,6.99%,36 months,5.20%,RENT,2250,4,4527,0,5 years
23214,5000,5000,10.00%,60 months,9.28%,RENT,4000,6,3448,0,< 1 year
98634,20000,20000,6.03%,36 months,18.67%,MORTGAGE,14583.33,9,29044,0,7 years
83570,8000,8000,8.90%,36 months,26.56%,MORTGAGE,4416.67,15,6701,0,1 year
29775,3200,3200,17.49%,60 months,7.90%,RENT,2609,9,5382,0,3 years
21900,2800,2800,10.00%,36 months,20.32%,RENT,3250,4,8717,0,5 years
62763,9600,9600,6.62%,36 months,3.82%,RENT,4333.33,7,1039,1,3 years
48676,7000,7000,13.11%,36 months,16.76%,RENT,3650,12,6444,1,5 years
5511,12000,11925,11.83%,36 months,15.88%,RENT,10250,15,46336,2,5 years
32601,17000,17000,7.90%,36 months,6.43%,RENT,6250,4,1352,3,6 years
52823,6000,6000,12.12%,36 months,23.89%,MORTGAGE,8000,8,16139,0,2 years
46870,14600,14600,9.76%,36 months,29.51%,OWN,2500,14,23616,1,2 years
38826,29000,27884.92,10.65%,60 months,3.90%,MORTGAGE,15000,12,55964,0,10+ years
587,11000,2116.76,13.87%,36 months,20.93%,OWN,4167,14,17436,0,2 years
76450,16000,16000,15.31%,36 months,19%,MORTGAGE,7666.67,16,43692,1,10+ years
17877,12000,12000,9.62%,60 months,14.12%,MORTGAGE,6666.67,10,6969,1,4 years
5880,10000,10000,7.74%,36 months,0.17%,MORTGAGE,7083.33,9,2994,NA,10+ years
224,24625,917.28,14.07%,36 months,12.81%,MORTGAGE,10000,14,33698,0,8 years
5858,16500,16350,11.83%,36 months,17.44%,RENT,4810.08,7,24351,1,3 years
87620,13800,13800,12.12%,36 months,17.11%,RENT,4250,8,11366,0,< 1 year
99541,35000,35000,15.31%,36 months,15%,RENT,6666.67,22,33472,0,10+ years
10356,4000,4000,16.82%,60 months,13.71%,MORTGAGE,4500,5,20804,0,3 years
74944,20950,20875,21.49%,60 months,27.56%,MORTGAGE,4500,15,24210,1,6 years
63,18500,3100,15.33%,36 months,5.24%,RENT,7500,8,22379,0,1 year
43623,5000,5000,14.27%,36 months,18.41%,RENT,5208.33,9,18055,1,9 years
8773,25000,23995.24,10.62%,36 months,12.21%,RENT,11166.67,6,28556,0,7 years
76320,22400,22400,13.11%,36 months,16.08%,RENT,7375,8,9673,0,10+ years
70800,10000,10000,14.33%,36 months,25.01%,RENT,4666.67,9,19479,0,10+ years
25665,4900,4900,5.99%,36 months,6.64%,MORTGAGE,2666.67,5,3455,1,4 years
74054,18000,18000,12.12%,60 months,19.16%,MORTGAGE,7583.33,14,26622,0,3 years
40139,35000,35000,12.42%,60 months,12.79%,MORTGAGE,12083.33,15,18385,0,< 1 year
68829,12000,12000,12.12%,36 months,19.41%,MORTGAGE,8750,10,32028,1,4 years
